menu,route,order,icon,sysAdmin,columns
Brandbook,list/brandbook,1,book,0,
Colores,list/colores,2,menu_book,0,
Color Jerarquia,list/color_jerarquia,3,dataset,0,
Tipografias,list/tipografias,4,newspaper,0,
Tipografia Styles,list/tipografia_styles,5,book,0,
Combinaciones,list/combinaciones,6,table_chart,0,
Tipologias,list/tipologias,7,format_shapes,0,
Tipologia Casing,list/tipologia_casing,8,local_shipping,0,
Tipologia Tags,list/tipologia_tags,9,photo_camera,0,
Bloques,list/bloques,10,group,0,
Links,list/links,11,menu_book,0,
Galeria,gallery,12,photo_camera,0,
Usuarios,users,13,group,1,
Usuarios Brandbook,list/usuarios_brandbook,14,book,1,
